domain,role_family,target_role,competency,related_skills,candidate_answer,star_relevance_score,technical_accuracy_score,evidence_level,final_answer_quality_label
Information & Technology,Data & AI,Data Analyst,Data Cleaning & Structural Preparation,"sql, excel, data cleaning, pandas, data wrangling, numpy","Pada proyek terakhir terkait Data Cleaning & Structural Preparation, saya bertanggung jawab penuh menggunakan sql, excel, data cleaning, pandas, data wrangling, numpy. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.97,0.94,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Data Cleaning & Structural Preparation,"sql, excel, data cleaning, pandas, data wrangling, numpy","Pada proyek terakhir terkait Data Cleaning & Structural Preparation, saya bertanggung jawab penuh menggunakan sql, excel, data cleaning, pandas, data wrangling, numpy. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",1.0,0.96,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Data Cleaning & Structural Preparation,"sql, excel, data cleaning, pandas, data wrangling, numpy","Pada proyek terakhir terkait Data Cleaning & Structural Preparation, saya bertanggung jawab penuh menggunakan sql, excel, data cleaning, pandas, data wrangling, numpy. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.89,0.93,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Data Cleaning & Structural Preparation,"sql, excel, data cleaning, pandas, data wrangling, numpy","Pada proyek terakhir terkait Data Cleaning & Structural Preparation, saya bertanggung jawab penuh menggunakan sql, excel, data cleaning, pandas, data wrangling, numpy. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.9,0.92,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Data Cleaning & Structural Preparation,"sql, excel, data cleaning, pandas, data wrangling, numpy","Pada proyek terakhir terkait Data Cleaning & Structural Preparation, saya bertanggung jawab penuh menggunakan sql, excel, data cleaning, pandas, data wrangling, numpy. Kandidat menjelaskan konteks proyek skala besar di industri dengan sangat kronologis dan detail. Menjelaskan akuntabilitas pribadi dan peran kepemimpinan dalam menyelesaikan bottleneck teknis. Hasilnya, Menyebutkan dampak performa bisnis secara kuantitatif dengan metrik yang terukur jelas (misal: reduksi latency 40%, akurasi 95%).",0.92,0.93,4,HIGH_QUALITY
Information & Technology,Data & AI,Data Analyst,Data Cleaning & Structural Preparation,"sql, excel, data cleaning, pandas, data wrangling, numpy","Saya pernah ikut tim mengerjakan Data Cleaning & Structural Preparation pakai sql, excel, data cleaning, pandas, data wrangling, numpy. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.23,0.21,2,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Data Cleaning & Structural Preparation,"sql, excel, data cleaning, pandas, data wrangling, numpy","Saya pernah ikut tim mengerjakan Data Cleaning & Structural Preparation pakai sql, excel, data cleaning, pandas, data wrangling, numpy. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.44,0.48,2,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Data Cleaning & Structural Preparation,"sql, excel, data cleaning, pandas, data wrangling, numpy","Saya pernah ikut tim mengerjakan Data Cleaning & Structural Preparation pakai sql, excel, data cleaning, pandas, data wrangling, numpy. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.45,0.45,1,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Data Cleaning & Structural Preparation,"sql, excel, data cleaning, pandas, data wrangling, numpy","Saya pernah ikut tim mengerjakan Data Cleaning & Structural Preparation pakai sql, excel, data cleaning, pandas, data wrangling, numpy. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.43,0.33,1,LOW_QUALITY
Information & Technology,Data & AI,Data Analyst,Data Cleaning & Structural Preparation,"sql, excel, data cleaning, pandas, data wrangling, numpy","Saya pernah ikut tim mengerjakan Data Cleaning & Structural Preparation pakai sql, excel, data cleaning, pandas, data wrangling, numpy. Kandidat menjawab terlalu singkat, mengambang, and tidak menyebutkan latar belakang proyek. Hanya menyebutkan kerja tim tanpa memperjelas kontribusi spesifik dirinya sendiri. Tidak ada metrik evaluasi yang jelas, hanya klaim subjektif bahwa sistem berjalan lancar.",0.11,0.36,1,LOW_QUALITY
