sample_id,domain,role_family,target_role,competency,question,answer,role_relevance,star_structure,evidence_specificity,technical_accuracy,communication_clarity,self_awareness,evidence_level,weakness_tags,need_clarification,clarification_type,final_score_0_100,final_score_0_1,quality_label,has_tool,has_metric,has_impact,has_action,has_context,answer_length_words
AQD-F0A47B,Information & Technology,Data & AI,Data Analyst,Career Motivation & Fit,"Halo, selamat datang di sesi wawancara. Bisa ceritakan sedikit tentang dirimu dan kenapa kamu tertarik melamar posisi Data Analyst?","Tentu, terima kasih atas kesempatannya. Saya adalah seorang profesional yang bersemangat dengan pengalaman selama tiga tahun di bidang analisis data, dengan fokus utama pada pengoptimalan proses dan peningkatan efisiensi operasional. Sebelum ini, saya bekerja di tim engineering sebagai Junior Data Engineer, di mana saya terlibat langsung dalam pembangunan dan pemeliharaan pipeline data. Ketertarikan saya pada posisi Data Analyst di sini muncul karena saya melihat adanya sinergi yang kuat antara pengalaman teknis saya dan kebutuhan perusahaan untuk membuat keputusan berbasis data yang lebih cerdas. Saya sangat tertarik dengan bagaimana data dapat digunakan untuk mengidentifikasi *bottleneck* dan mengoptimalkan alur kerja, yang saya yakini merupakan area di mana saya dapat memberikan kontribusi yang signifikan.",90,80,95,90,95,85,5,,False,none,89.0,0.89,Strong,0,1,1,1,1,111
AQD-BD8031,Information & Technology,Data & AI,Data Analyst,Career Motivation & Fit,"Dari semua project atau materi yang pernah kamu pelajari, bagian mana sih yang bikin kamu merasa paling 'klik' dan yakin berkarir di jalur ini?","Saya merasa paling klik waktu belajar banyak tools data sih. Saya udah pelajarin Python, terus pake Pandas, NumPy, Matplotlib, sama Seaborn. Selain itu saya juga kuasai SQL pake PostgreSQL dan MySQL untuk query database, terus saya hubungkan ke Tableau dan Power BI buat bikin dashboard visualisasi. Saya juga sempat pelajari Hadoop sama Apache Spark buat big data processing, terus coba-coba machine learning pake Scikit-Learn sama TensorFlow. Ditambah lagi saya pake Git buat version control dan Apache Airflow buat data pipeline-nya. Menurut saya semua stack teknologi itu seru banget pas dipelajari dan itu yang bikin saya yakin banget buat karir di data analyst karena tools-nya keren-keren.",45,20,25,40,35,30,1,context_missing;measurable_result_missing;buzzword_heavy,True,context,32.75,0.3275,Weak,1,0,0,0,0,105
AQD-B6170A,Information & Technology,Data & AI,Data Analyst,Career Motivation & Fit,"Dari semua project atau materi yang pernah kamu pelajari, bagian mana sih yang bikin kamu merasa paling 'klik' dan yakin berkarir di jalur ini?","Saya merasa paling 'klik' waktu ngerjain project ETL pipeline menggunakan PySpark dan Apache Airflow untuk pemrosesan log aktivitas user. Waktu itu saya harus mengoptimalkan query SQL yang join-nya sangat kompleks dengan mengimplementasikan broadcast joins pada PySpark DataFrame API untuk mengatasi data skewness pada partisi tabel cluster kami. Saya menulis logic partitioning custom menggunakan hashing function untuk memastikan distribusi data di node worker seimbang, terus saya juga melakukan tuning pada JVM memory overhead dan execution core allocation di cluster Spark untuk meminimalkan disk spilling sewaktu data processing. Di situ saya sadar bahwa saya sangat menikmati proses pemecahan masalah optimasi query di level arsitektur dan logic coding engine-nya.",65,60,70,85,55,50,3,impact_missing;measurable_result_missing;business_understanding_missing,True,impact,65.5,0.655,Average,1,0,0,1,1,106
AQD-AC24D7,Information & Technology,Data & AI,Data Analyst,Career Motivation & Fit,"Dari semua project atau materi yang pernah kamu pelajari, bagian mana sih yang bikin kamu merasa paling 'klik' dan yakin berkarir di jalur ini?","Jujur, momen yang bikin saya paling 'klik' itu justru berawal dari kesalahan fatal yang saya buat sendiri. Waktu itu saya sedang mengerjakan project churn analysis untuk platform e-commerce menggunakan SQL dan Python. Karena terlalu terburu-buru ingin menyajikan data ke tim marketing, saya menjalankan query analisis yang kurang optimal langsung di production database pada jam sibuk. Akibat kesalahan join clause, query tersebut menyebabkan cross join pada tabel berisi sepuluh juta baris, yang akhirnya membuat database analitik kami down selama hampir dua jam dan melumpuhkan dashboard tim marketing. Di situ saya panik sekali, tapi saya langsung melapor ke Tech Lead dan mengakui kesalahan saya. Dari situ, aksi nyata saya adalah bekerja sama dengan Data Engineer untuk mematikan query yang menggantung, lalu saya mengisolasi masalahnya. Saya menulis ulang query-nya dengan mengoptimalkan indexing dan menambahkan filter partisi tanggal yang tepat. Saya juga berinisiatif membuat validation pipeline sederhana di Python menggunakan library Pandas untuk menguji performa query pada data sampel lima persen terlebih dahulu sebelum masuk ke production. Hasilnya sangat luar biasa bagi saya. Tidak hanya mengembalikan sistem, tapi query baru yang saya optimalkan itu runtime-nya berkurang sebesar tujuh puluh lima persen, dari yang tadinya empat puluh menit menjadi hanya sepuluh menit saja. Dan dampak bisnisnya, tim marketing bisa mendeteksi user yang berpotensi churn secara real-time, yang akhirnya berhasil meningkatkan retensi pelanggan sebesar dua belas persen di kuartal berikutnya. Pengalaman bangkit dari error besar ini, memecahkan masalahnya secara logis, dan melihat dampak nyata data tersebut pada bisnis adalah momen yang bikin saya jatuh cinta setengah mati dan yakin seratus persen untuk berkarir di jalur Data Analyst.",95,98,96,95,94,98,5,,False,none,96.0,0.96,Strong,1,1,1,1,1,261
AQD-1B6C80,Information & Technology,Data & AI,Data Analyst,Career Motivation & Fit,"Di industri IT perkembangannya kan cepat banget ya. Sebagai seorang Data Analyst, bagaimana cara kamu biasanya belajar atau beradaptasi dengan teknologi baru?","Saya kalau soal perkembangan IT yang cepat itu sebenarnya setuju sih, memang cepat sekali. Tapi bagi saya yang paling penting dalam hidup itu keseimbangan ya. Makanya dulu waktu saya membantu di toko retail keluarga, saya itu lebih fokus ke bagaimana melayani pelanggan dengan ramah. Saya selalu berusaha menyapa pelanggan yang datang dan memastikan mereka nyaman belanja di sana. Menurut saya, kalau pelayanan kita bagus, bisnis pasti lancar. Jadi saya lebih banyak belajar tentang cara berkomunikasi dengan pelanggan daripada hal-hal teknis baru karena menurut saya itu jauh lebih berguna untuk kelangsungan bisnis.",25,20,20,15,35,30,1,role_relevance_low;communication_unclear,True,role_relevance,23.0,0.23,Weak,0,0,0,0,1,91
AQD-0D1515,Information & Technology,Data & AI,Data Analyst,Career Motivation & Fit,"Di industri IT perkembangannya kan cepat banget ya. Sebagai seorang Data Analyst, bagaimana cara kamu biasanya belajar atau beradaptasi dengan teknologi baru?","Saya biasanya langsung belajar teknologi baru dengan melakukan hands-on setup di environment lokal. Contohnya kemarin saat saya harus beradaptasi dengan PySpark untuk mengolah data besar, saya langsung mengkonfigurasi file spark-defaults.conf, melakukan tuning pada memory-overhead, heap size, serta jumlah executor cores agar tidak terjadi Out Of Memory error saat membaca file parquet berukuran ratusan gigabyte menggunakan schema inference. Saya juga mengimplementasikan arsitektur pipeline data menggunakan Delta Lake dengan mengaktifkan fitur schema enforcement dan mengoptimalkan penulisan partisi menggunakan broadcast joins untuk mempercepat read/write performance. Selain itu, saya menulis kustom User Defined Functions menggunakan bahasa Scala untuk parsing file JSON yang nested sangat dalam ke Apache Hive metastore agar skema datanya terstruktur dengan presisi. Proses debugging-nya saya lakukan langsung lewat tracking log di UI Spark history server untuk melihat DAG visualization dan bottleneck di tahapan shuffling data.",65,60,75,85,50,60,3,impact_missing;measurable_result_missing;overly_technical,True,impact,67.0,0.67,Average,1,0,0,1,1,134
AQD-6EEF96,Information & Technology,Data & AI,Data Analyst,Career Motivation & Fit,"Di industri IT perkembangannya kan cepat banget ya. Sebagai seorang Data Analyst, bagaimana cara kamu biasanya belajar atau beradaptasi dengan teknologi baru?","Saya selalu melihat perkembangan teknologi baru sebagai peluang untuk memecahkan masalah efisiensi secara langsung. Contohnya di perusahaan sebelumnya, kami menghadapi masalah di mana query latency untuk dashboard analitik harian sangat tinggi, sehingga pipeline data memakan waktu hampir 45 menit setiap pagi dan menghambat tim bisnis. Tugas saya saat itu adalah mempercepat proses pemuatan data tersebut. Untuk itu, saya berinisiatif secara mandiri mempelajari dbt atau Data Build Tool dan teknik optimalisasi BigQuery yang saat itu merupakan teknologi baru di tim kami. Tindakan yang saya lakukan adalah menganalisis query execution plan, lalu saya memfaktorkan ulang query SQL warisan yang kompleks menjadi dbt models yang termodularisasi, menerapkan strategi partitioning dan clustering table, serta mengubah materialisasi dari view menjadi incremental table. Hasilnya, tindakan ini berhasil memangkas waktu eksekusi pipeline data secara signifikan dari 45 menit menjadi hanya 8 menit saja, serta berhasil menekan penggunaan BigQuery slot time atau konsumsi komputasi server hingga 60 persen. Melalui proses adaptasi teknologi dbt dan BigQuery optimization ini, saya membuktikan bahwa kemauan belajar mandiri sangat krusial untuk menjaga performa dan efisiensi infrastruktur data.",96,98,97,95,94,92,5,,False,none,95.85,0.9585,Strong,1,1,1,1,1,174
AQD-D569F2,Information & Technology,Data & AI,Data Analyst,Career Motivation & Fit,"Kalau kamu diterima di posisi Data Analyst ini, apa target atau harapan terbesarmu dalam 1 sampai 2 tahun ke depan?","Saya kalau ditanya target satu dua tahun ke depan ya... sebenarnya saya itu orangnya sangat dinamis ya. Saya dulu pernah aktif banget ikut kepanitiaan acara festival kuliner di kampus, waktu itu saya dipercaya jadi seksi perlengkapan sekaligus humas juga. Di sana saya belajar banyak sekali tentang bagaimana cara negosiasi sama vendor tenda dan sponsor makanan luar. Seru banget sih karena bisa ketemu banyak orang baru dari berbagai latar belakang usaha kecil menengah. Jadi target saya ya pengennya terus bisa aktif di kegiatan sosial kemasyarakatan kayak gitu atau mungkin nanti bisa buka usaha kuliner sendiri kalau modalnya sudah terkumpul dari hasil kerja. Saya orangnya mengalir saja sih, yang penting bisa dapat pengalaman baru yang seru setiap harinya.",25,20,20,20,30,25,1,role_relevance_low;communication_unclear,True,role_relevance,22.75,0.2275,Weak,0,0,0,0,0,116
AQD-2CA780,Information & Technology,Data & AI,Data Analyst,Career Motivation & Fit,"Kalau kamu diterima di posisi Data Analyst ini, apa target atau harapan terbesarmu dalam 1 sampai 2 tahun ke depan?","Target terbesar saya dalam satu sampai dua tahun ke depan di sini adalah mengoptimalkan seluruh pipeline data warehouse kita yang sekarang masih pakai legacy cron jobs. Saya berencana untuk memigrasikannya ke Apache Airflow dengan merancang DAG yang memiliki dependency management yang ketat dan menerapkan backfilling otomatis. Selain itu, saya ingin menulis ulang query SQL yang kompleks, terutama yang memiliki banyak subquery nested, dengan menggantinya menggunakan Common Table Expressions atau CTE agar execution plan di PostgreSQL bisa lebih optimal dan mengurangi CPU utilization saat melakukan indexing data. Saya juga berencana untuk mengintegrasikan model prediktif menggunakan pustaka Scikit-Learn seperti XGBoost atau LightGBM langsung ke dalam visualisasi dashboard Tableau kita supaya bisa melakukan forecasting time-series yang rumit, jadi kita tidak hanya sekadar menampilkan visualisasi deskriptif saja.",65,60,75,85,50,55,3,impact_missing;measurable_result_missing;overly_technical,True,impact,66.5,0.665,Average,1,0,0,1,1,123
AQD-BC814E,Information & Technology,Data & AI,Data Analyst,Career Motivation & Fit,"Kalau kamu diterima di posisi Data Analyst ini, apa target atau harapan terbesarmu dalam 1 sampai 2 tahun ke depan?","Target terbesar saya dalam satu hingga dua tahun ke depan jika diterima di posisi Data Analyst ini adalah memimpin standardisasi dan optimalisasi efisiensi query pada infrastruktur data warehouse perusahaan. Pengalaman saya sebelumnya mengajarkan bahwa efisiensi komputasi sangat krusial. Saat itu, tim kami menghadapi masalah di mana query ETL harian di Google BigQuery membutuhkan waktu hingga tiga puluh menit karena struktur tabel yang tidak teroptimasi, sehingga membebani resource server. Peran saya adalah mengatasi latensi ini. Tindakan yang saya lakukan adalah membangun data pipeline baru menggunakan dbt, menerapkan strategi table partitioning berdasarkan waktu, dan melakukan clustering berdasarkan kolom yang paling sering digunakan dalam query. Hasilnya, kami berhasil memangkas runtime eksekusi query tersebut secara drastis dari tiga puluh menit menjadi hanya lima menit saja. Ini berdampak langsung pada penurunan biaya komputasi server hingga enam puluh persen dan mempercepat waktu tunggu tim engineering untuk mengonsumsi data siap pakai. Di perusahaan ini, saya ingin mereplikasi kesuksesan tersebut agar infrastruktur analisis data kita jauh lebih cepat dan hemat biaya.",95,98,96,97,95,93,5,,False,none,95.9,0.959,Strong,1,1,1,1,1,163
